,variant_id,title,type2,nivel_prenda,specific_color,color,tipo_marca,season,disponibilidad,basicos,formalidad,estampado,atrevido,invierno_verano,interesante,detalle,specific_type,stock,envios,ventas,satisfaction,tasa_mercado,interest,marca,feature_name,feature_value
672,51587570-572c-4877-9906-538b9c36126d,Candy Skirt stripe ,Skirt,nivel_1,blue,blue,No mainstream,7,proximamente,True,both,True,unknown,invierno,False,stripe,skirt,0.0,923.8,202.4,0.2277445572085752,0.0078577808021094,0.1406348224016632,No mainstream,composition,false
3792,0c07530e-7b32-45d8-b74a-6ed3b88a4e3c,Rose Cardigan knit ,Sweater,nivel_2,pink,pink,No mainstream,9,proximamente,False,both,False,unknown,invierno,True,knit,sweater,0.0,201.66666666666663,102.66666666666669,0.4593253968253968,0.0017153631324515,0.3449228884021605,No mainstream,application,false
3867,0021d824-3856-460f-99ae-91412d432e8c,Sand Tshirt jsy ,Tshirt,nivel_2,blue_dark,blue,No mainstream,9,proximamente,True,both,False,unknown,invierno,True,jsy,tshirt,0.1666666666666666,1055.6666666666667,487.6666666666667,0.4624034890552963,0.0089794298189653,0.2540696300629942,No mainstream,detail,50
4525,765bc2b2-6a6a-4433-95b6-cbfbbcae4b75,Tuscany Sweater rayes ,Sweater,nivel_2,red,red,No mainstream,7,proximamente,False,both,False,unknown,invierno,True,rayes,sweater,0.0,577.5,220.0,0.4304219546403037,0.0049121762429294,0.261300108864404,No mainstream,composition,50
3864,6bdc9530-a65d-4b4e-a6e8-80438e394654,Sand Pant leggings ,Pant,nivel_1,brown_light,brown,No mainstream,8,proximamente,False,both,False,unknown,invierno,True,leggings,pant,0.0,1333.6666666666667,572.0,0.4293504508786689,0.011344079161882,0.2203472650202755,No mainstream,composition,false
1442,5a17faaf-d72b-4af4-bc99-43cbcd7637f0,Femme Sweater mohair ,Sweater,nivel_2,aubergine,purple,No mainstream,9,proximamente,False,both,False,unknown,invierno,False,mohair,sweater,0.0,0.0,0.0,0.0,0.0,0.0,No mainstream,composition,false
675,3ce3c481-1fdd-424e-8b7c-51cf397429da,Canotta Tshirt fluor,Tshirt,nivel_2,yellow,yellow,No mainstream,7,proximamente,False,both,False,unknown,invierno,False,fluor,tshirt,0.3333333333333333,73.33333333333333,22.0,0.125,0.0006237684118005,0.0939059421029501,No mainstream,composition,false
4522,64ea9879-cba2-4988-83a7-30c390e84242,Turna Top flounce ,Top,nivel_2,grey_dark,gray,No mainstream,7,proximamente,False,both,False,unknown,invierno,False,flounce,top,0.0,1105.25,346.5,0.3146185801151094,0.0094011823246714,0.1620098812198904,No mainstream,adventurous,50
952,007dfcb2-ee06-4f6b-979b-b00ca6282ea8,Clofirma Dress modal ,Dress,nivel_1,blue_dark,blue,Own production,8,proximamente,True,both,False,unknown,invierno,False,modal,dress,0.0,1710.8,541.2,0.2490865204390922,0.0145519499851146,0.1318192352121034,Own production,application,61
990,1b41f9fe-9035-415a-8e6d-e311beb5105b,Closet Skirt mexico ,Skirt,nivel_1,black,black,Own production,7,proximamente,False,both,False,unknown,invierno,True,mexico,skirt,0.0,1227.0,514.8,0.4235394748962705,0.0104367796538085,0.2169881272750395,Own production,adventurous,false
2684,1f601c51-2f78-450a-a34f-98656b9350ae,Mejh Top lace,Top,nivel_2,gray_light,gray,Own production,7,proximamente,False,formal,False,unknown,invierno,True,lace,top,0.0,1007.6,365.2,0.3659429073342116,0.0085705779781397,0.1872567426561757,Own production,adventurous,false
381,0f2fa3f0-0628-4538-ae49-32f7ec5d04ef,Billass Top closet ,Top,nivel_2,black,black,Own production,9,proximamente,False,both,False,unknown,invierno,True,closet,top,0.2,968.0,479.6,0.5034759545136904,0.0082337430357674,0.2558548487747288,Own production,adventurous,true
383,23ea1b86-1de1-418b-a3d3-42d4f481fe0c,Billia Jacket closet,Jacket,nivel_3,black,black,Own production,9,proximamente,False,both,False,unknown,invierno,True,closet,jacket,0.2,897.6,343.2,0.3711458591790245,0.0076349253604389,0.1893903922697317,Own production,adventurous,60
384,4141cbd1-3756-47fa-a28b-b137d015fcc8,Billia Skirt closet ,Skirt,nivel_1,black,black,Own production,9,proximamente,False,both,False,unknown,invierno,True,closet,skirt,0.2,1086.8,532.4,0.4935600265534865,0.0092442478628843,0.2514021372081854,Own production,alerts,false
2013,7b8da944-dbad-4872-b63c-4e96f5e8e1c9,Jacinthe Foulard closet,Foulard,nivel_3,blue_klein,blue,Own production,7,disponible,False,informal,False,atrevido,invierno,True,closet,foulard,40.0,1253.0,572.0,0.4565043894652833,0.0106579339089014,0.2335811616870924,Own production,adventurous,boho
385,208c1eac-37b8-4df8-8abe-ba93fdbcc4f3,Billia Top closet ,Top,nivel_2,black,black,Own production,9,proximamente,False,both,False,unknown,invierno,True,closet,top,0.4,827.2,431.2,0.5209627125348009,0.0070361076851103,0.2639994101099556,Own production,alerts,59
975,200aaf3c-0c0f-42ec-88de-2e99c4ce4c3e,Closet Dress manhattan ,Dress,nivel_1,yellow,yellow,Own production,7,disponible,False,both,False,unknown,invierno,False,manhattan,dress,1.4,1768.0,404.8,0.2340949614323997,0.015038489346319,0.1245667253893594,Own production,detail,true
386,35906072-418c-459a-9d1f-2666fb58758b,Billion Top closet ,Top,nivel_2,black,black,Own production,9,proximamente,False,both,False,unknown,invierno,True,closet,top,0.0,941.6,567.6,0.6093708581652832,0.0080091864075192,0.3086900222864012,Own production,application,60
976,5fdd799b-4071-4937-83b2-d56569a79016,Closet Dress michigan,Dress,nivel_1,black,black,Own production,7,proximamente,False,both,False,unknown,invierno,True,michigan,dress,0.0,1350.2,492.8,0.3766463520759057,0.0114847105856334,0.1940655313307696,Own production,detail,140
