,index,title,specific_color,type2,specific_type,color,tipo_marca,stock,envios,ventas,satisfaction,tasa_mercado,interest,season,disponibilidad,marca,feature_name,feature_value,variant_id,nivel_prenda
1714,1715,Golightly Jacket solid ,blue_dark,Jacket,jacket,blue,NO_MAINSTREAM,0.875,68.75,24.75,0.3523809523809523,0.000584782886063,0.2644319100072301,9,proximamente,NO_MAINSTREAM,detail,53,2981ea34-1684-43d1-99fe-b1f8364df998,Nivel 3
1737,1738,Hanna Cardigan knit,rust,Sweater,sweater,orange,NO_MAINSTREAM,1.2,501.6,180.4,0.3947097837851444,0.0042665759367158,0.262829415690904,8,proximamente,NO_MAINSTREAM,sleeve,false,13cffa14-a6fb-45f2-9caa-54acb26b7e16,Nivel 2
1738,1739,Hannah Tshirt knit ,black,Tshirt,tshirt,black,NO_MAINSTREAM,0.1428571428571428,154.0,97.42857142857144,0.6386054421768707,0.0013099136647811,0.4792815600488483,9,proximamente,NO_MAINSTREAM,composition,16,6e9e1d8c-47df-4f03-ad26-0ebc720e0e16,Nivel 2
1742,1743,Harlowb Sweater striped ,blue_dark,Sweater,sweater,blue,NO_MAINSTREAM,1.75,638.0,401.5,0.6311718887519803,0.0054267851826649,0.3944170347358582,9,disponible,NO_MAINSTREAM,application,58,17526010-9a5e-4aec-b3ce-e3a7a32984dc,Nivel 2
1744,1745,Harrotage Jackect joules ,black,Jacket,jacket,black,NO_MAINSTREAM,0.125,148.5,66.0,0.3747061965811966,0.0012631310338961,0.2723711947536932,8,proximamente,NO_MAINSTREAM,detail,false,06510d87-30b3-4be2-b95b-cae864729581,Nivel 3
1746,1747,Harrotage Jackect joules ,mustand,Jacket,jacket,yellow,NO_MAINSTREAM,0.8571428571428571,169.71428571428572,66.0,0.2998168498168498,0.0014435783244527,0.2252235319437505,8,proximamente,NO_MAINSTREAM,detail,false,0818faf8-ce96-4a85-90f4-18090c67f5e9,Nivel 3
1749,1750,Hawk Top bohck ,grey,Top,top,gray,OWN_PRODUCTION,0.2,730.4,277.2,0.3789146971905593,0.0062127333815336,0.1925637152860464,9,proximamente,OWN_PRODUCTION,composition,false,23e7818c-1c09-4921-b79c-078bd1990162,Nivel 2
1760,1761,Hearts Dress season,red,Dress,dress,red,WHOLE_SALE,3.333333333333333,0.0,0.0,0.0,0.0,0.0,9,disponible,WHOLE_SALE,style,false,257d391c-ad17-4f6d-990a-b622876882a0,Nivel 1
1767,1768,Heild Tshirt mc ,camel,Tshirt,tshirt,brown,NO_MAINSTREAM,1.4,910.6,378.4,0.4085740434062582,0.0077455024879853,0.2461656278642598,8,proximamente,NO_MAINSTREAM,adventurous,52,2d784958-e650-4508-b856-a38d7ecf8f66,Nivel 2
1768,1769,Heild Tshirt mc ,green_dark,Tshirt,tshirt,green,NO_MAINSTREAM,17.8,145.2,79.2,0.5311111111111111,0.0012350614553651,0.3986420986971746,8,disponible,NO_MAINSTREAM,adventurous,52,1163aaeb-2272-4bf9-ab78-ab76f1fab784,Nivel 2
1770,1771,Henley Tshirt fem ,blue_dark,Tshirt,tshirt,blue,NO_MAINSTREAM,1.4,497.2,193.6,0.3960426145958061,0.0042291498320078,0.2682948331832181,8,proximamente,NO_MAINSTREAM,fabric,false,09443a12-0690-4d55-b635-7298294976a7,Nivel 2
1771,1772,Henrietta T-shirt print,brown,Tshirt,tshirt,brown,MAINSTREAM,2.8,932.6,334.4,0.3489151637468398,0.0079326330115255,0.1784238983791826,8,proximamente,MAINSTREAM,composition,57,028ff5e7-c5d8-4552-af95-fb86981705e4,Nivel 2
1772,1773,Heron Sweatshirt brakeburn ,blue_klein,Sweater,sweater,blue,NO_MAINSTREAM,1.6,523.6,176.0,0.3169578134284017,0.004453706460256,0.1832540985215976,7,proximamente,NO_MAINSTREAM,style,false,43f25cfd-051d-4a59-9607-029afdaaec87,Nivel 2
1775,1776,Hesford Pant joules ,blue_dark,Pant,pant,blue,NO_MAINSTREAM,0.6,274.26666666666665,111.46666666666668,0.379486835722729,0.0023328938601341,0.2730518893495634,8,proximamente,NO_MAINSTREAM,composition,38,045d964a-e25e-4591-bc94-a8fca5d0421d,Nivel 1
1797,1798,Holly Shirt light,blue_light,Shirt,shirt,blue,MAINSTREAM,4.4,1214.2,457.6,0.3639782519785397,0.0103279037128397,0.1871530778456896,7,proximamente,MAINSTREAM,application,false,4b4f1c6b-ac28-46ae-9c3e-078d21488fc0,Nivel 2
1819,1820,Icmarrakech Dress miniprint ,yellow,Dress,dress,yellow,MAINSTREAM,1.0,1495.5,330.0,0.2557170542635659,0.0127206226342874,0.1342188384489266,9,disponible,MAINSTREAM,detail,false,53e8b5e6-91c6-4649-9a45-b72cde8d3340,Nivel 1
1825,1826,Idrissia Sweater race ,black,Sweater,sweater,black,NO_MAINSTREAM,0.25,60.5,11.0,0.1,0.0005146089397354,0.0751286522349338,8,proximamente,NO_MAINSTREAM,composition,false,06e67b8b-5508-450f-9646-368a1198b45a,Nivel 2
