,Stock,Envios,Tasa mercado,Interest
1019,0.0,620.4,0.0052770807638327,0.2544756163167782
3138,0.0,536.8,0.0045659847743801,0.1900436090401614
3882,0.0,509.6666666666667,0.0043351904620139,0.2252301038530052
1326,0.0,374.0,0.0031812189001828,0.1695664494503434
2272,0.0,1649.0,0.0140262833326245,0.2288529071787191
1324,0.0,594.0,0.0050525241355845,0.2314016668566162
3886,0.0,4376.0,0.0372219623187173,0.1493239610496694
3887,0.0,5036.0,0.0428358780249223,0.1720335069235017
3888,0.0,1851.1666666666667,0.0157458994315201,0.2910849829716099
3889,0.0,2437.5,0.0207332114149619,0.3106296379412314
1319,0.0,975.0,0.0082932845659847,0.1474906172638702
1318,0.0,1326.6666666666667,0.0112845376316647,0.1536577712858849
1317,0.0,1048.3333333333333,0.0089170529777853,0.2085747054814632
1332,0.0,787.6,0.006699272742738,0.2126289664488533
1316,0.0,1451.0,0.0123421086207629,0.1501493887658445
3890,0.0,1641.6666666666667,0.0139639064914444,0.2575439618263992
3891,0.0,974.8333333333334,0.0082918669105034,0.3457220278689295
1312,0.0,303.6,0.0025824012248543,0.2429241325325012
1311,0.0,259.6,0.0022081401777739,0.22018494083834
1310,0.0,418.0,0.0035554799472632,0.2215939610861031
1309,0.0,514.8,0.0043788542508399,0.135617968093176
1308,0.2,550.0,0.0046782630885042,0.1599829868226836
3894,0.0,2609.6666666666665,0.0221976495272118,0.2969602250558164
1306,0.0,470.8,0.0040045932037596,0.2866535543093759
1305,0.0,432.6666666666667,0.0036802336296233,0.1758487135632294
3896,0.0,4236.666666666667,0.0360368023362962,0.2885635137045479
1303,0.0,0.0,0.0,0.0
1315,0.0,1524.3333333333333,0.0129658770325635,0.1361591768098113
1302,0.0,586.6666666666666,0.0049901472944045,0.2264489643620337
3878,0.0,403.3333333333333,0.0034307262649031,0.3583798662635369
3876,0.0,711.3333333333334,0.0060505535944654,0.1351430198320904
3142,0.0,259.6,0.0022081401777739,0.3624006218420282
2264,0.0,545.6,0.0046408369837961,0.1664430186267042
3141,0.0,312.4,0.0026572534342704,0.3634529725509184
3140,0.0,338.8,0.0028818100625186,0.2926491019152525
1357,1.0,5586.0,0.0475141411134266,0.1615121725975296
1356,0.0,3826.5,0.0325479521966571,0.1506235155661225
1355,0.5,3552.0,0.0302130736188491,0.1466806325848021
1354,1.5,1935.0,0.0164589801386467,0.1276247687491252
1353,1.0,4079.5,0.0346999532173691,0.1474794767050994
1352,0.0,110.0,0.0009356526177008,0.1502339131544252
3139,0.0,510.4,0.0043414281461319,0.2280362990686003
1350,1.6,4621.133333333333,0.0393070500007088,0.2146958495181392
3877,0.0,0.0,0.0,0.0
1349,0.2,6404.0,0.0544719942159656,0.2761859203026383
1347,0.0,502.3333333333333,0.0042728136208338,0.3444463133134377
3869,0.0,1078.0,0.0091693956534682,0.1780540855818362
3870,0.0,1122.0,0.0095436567005486,0.1812424165855684
1344,0.0,692.9166666666666,0.0058939026637746,0.1904775089643363
1343,0.0833333333333333,630.5833333333334,0.0053636995137441,0.2344937999227123
1342,0.0,637.8333333333334,0.0054253675271835,0.2206488875117581
1341,0.0,454.6666666666667,0.0038673641531634,0.2652299909742601
1340,0.0,985.4,0.0083817462680219,0.1428391235884593
3871,0.0,1407.0,0.0119678475736826,0.1467088704819372
3872,0.0,4530.0,0.0385318759834984,0.1575661587423011
3873,0.0,5080.0,0.0432101390720027,0.1600893215045053
3875,0.0,579.3333333333334,0.0049277704532244,0.2976088971354459
1348,0.0666666666666666,6632.6,0.0564164504742057,0.2392177902783672
1301,0.0,583.0,0.0049589588738144,0.275222178117385
1300,0.0,818.4,0.0069612554756942,0.2575560478305971
1299,0.0,897.6,0.0076349253604389,0.2291383422202066
1260,0.0,2364.0,0.02010802534768,0.1414726980114531
1259,0.0,2441.0,0.0207629821800705,0.1651400736513804
1258,0.0,2628.0,0.022353591630162,0.1796381633041253
3967,0.0,564.6666666666666,0.0048030167708643,0.1618541247346002
3968,0.0,670.8333333333334,0.0057060633124937,0.1372506789544444
3969,0.0,1150.6666666666667,0.0097874934433433,0.1206577313127345
3971,2.0,5124.0,0.043584400119083,0.2041692492398694
3972,1.0,5762.0,0.0490111853017479,0.1905069810576772
3973,4.0,6355.0,0.0540552035044443,0.1723462484870766
3974,5.0,5036.0,0.0428358780249223,0.2026133321816431
1250,0.0,734.8,0.0062501594862416,0.2534827181891556
1249,0.0,774.4,0.0065869944286139,0.2324060163757699
3965,0.0,400.4,0.003405775528431,0.2905539385899084
3975,13.0,4706.0,0.0400289201718198,0.1905414469112393
1246,0.2,787.6,0.006699272742738,0.2376312466529793
3976,66.0,2199.0,0.0187045464211287,0.1994386761209781
3977,0.0,2309.0,0.0196401990388295,0.1765589475055559
3978,7.5,627.0,0.0053332199208948,0.2442327457696615
1242,0.0,3210.5,0.0273082975375324,0.1755270762063286
1241,0.0,649.0,0.0055203504444349,0.1769751510676281
1240,0.0,3200.0,0.0272189852422064,0.1321496375369597
1239,0.0,418.0,0.0035554799472632,0.2718972733481603
3979,0.0,2287.0,0.0194530685152894,0.1684497524474129
1237,171.0,10094.0,0.0858588865733849,0.2324479691436372
3980,0.0,2067.0,0.0175817632798877,0.1950511622398471
1235,0.0,22365.0,0.1902351890443584,0.3173398167444014
1247,0.0,466.4,0.0039671670990515,0.2008622082788614
3964,0.0,4376.0,0.0372219623187173,0.1969702133348613
3963,0.0,4772.0,0.0405903117424403,0.1769380728871464
3122,0.0,2014.3,0.0171335006166801,0.2766654628520824
3897,0.0,2551.0,0.0216986347977714,0.3192699584785994
2273,0.0,2617.0,0.0222600263683919,0.1947948045712068
3900,0.0,1034.0,0.0087951346063879,0.1855250182835861
1295,0.0,418.0,0.0035554799472632,0.2628730356689187
1294,0.0,387.2,0.0032934972143069,0.2874249345168255
3901,0.0,1114.3333333333333,0.0094784445484058,0.1746050553939518
3902,0.0,1092.3333333333333,0.0092913140248656,0.1640697386503395
3903,0.0,762.6666666666666,0.0064871914827258,0.2314009456378432
3904,0.0,667.3333333333334,0.0056762925473851,0.1824460821558171
1289,0.0,682.0,0.0058010462297452,0.0976286382449126
3906,0.0,1443.6666666666667,0.0122797317795829,0.1208547959922013
1287,0.0,1073.4,0.0091302683621826,0.1886782845743183
1286,0.0,836.0,0.0071109598945264,0.2295236329742397
2274,2.0,7961.0,0.0677157317228767,0.1692051840375469
2275,0.0,6245.0,0.0531195508867434,0.1814837145946927
2276,3.0,5828.0,0.0495725768723684,0.1870203309893757
3130,0.0,4150.75,0.0353060009356526,0.2509480955805664
1277,0.0,759.0,0.0064560030621358,0.1346698355591088
1276,0.0,671.0,0.0057074809679751,0.169137810861524
1275,0.0,665.5,0.0056606983370901,0.138681340282694
3952,0.0,704.0,0.0059881767532854,0.1443788388166875
3954,0.0,3841.0,0.0326712882235359,0.1882351271649592
3955,0.0,2243.0,0.019078807468209,0.2092230696449017
3956,0.0,2118.333333333333,0.0180184011681481,0.1521168764608397
3957,0.0,1743.0,0.0148258410241143,0.2470245216768369
3958,0.0,880.0,0.0074852209416067,0.196514426404384
3959,0.0,454.6666666666667,0.0038673641531634,0.3094220784232692
3857,0.0,1070.3333333333333,0.0091041835013255,0.1963395567366571
3856,0.0,865.3333333333334,0.0073604672592466,0.222190053118635
3855,0.0,934.75,0.0079509207672351,0.1279113875081883
3854,0.0,984.25,0.0083719644452005,0.1200145284002405
1469,0.0,5454.0,0.0463913579721856,0.2086558916740282
2213,0.8,1614.0,0.0137285756815378,0.2544820359776788
2214,2.0,1873.8,0.0159384170458895,0.2221792747017883
3756,0.0,985.6,0.0083834474545995,0.196202243986794
3757,0.0,894.5,0.0076085569684855,0.1269614983190672
3758,0.0,810.0,0.0068898056394335,0.1784102279793744
1463,0.2,747.8,0.0063607366137881,0.2015022932112766
1462,0.0,633.6,0.0053893590779568,0.1680058491438804
3759,0.0,792.0,0.006736698847446,0.1823186147193088
2215,1.0,1616.5,0.0137498405137583,0.2539721626371404
3763,0.0,729.6666666666666,0.0062064956974156,0.2308828461915245
2218,0.0,3299.0,0.0280610725981372,0.1507386296606933
1470,0.0,4816.0,0.0409645727895206,0.1871143461954248
