specific_type,conexiones
Jean,357.41803278688525
Jacket,273.12987012987014
Foulard,266.59090909090907
Sweater,255.9568345323741
Top,242.20625
Shirt,242.07558139534885
Pant,239.84583333333333
Tshirt,238.94857142857143
Bag,130.82857142857142
Short,95.86274509803921
Skirt,88.22900763358778
Dress,7.026845637583893
Jumpsuit,0.43478260869565216
